info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:10:26.600Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:10:26.623Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:10:27.647Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:10:27.653Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:10:59.067Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:10:59.089Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:11:00.160Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:11:00.166Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:12:57.092Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:12:57.111Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:12:58.363Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:12:58.371Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:13:14.272Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:13:14.286Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:13:15.514Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:13:15.520Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:13:44.769Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:13:44.788Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:13:46.058Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:13:46.066Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:15:08.386Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:15:08.396Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:15:10.175Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:15:10.191Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:15:23.379Z"}
info: Listening to port 3000 {"timestamp":"2020-05-29T18:15:23.395Z"}
info: Connected to MongoDB mongodb://localhost/vidly_tests.... {"timestamp":"2020-05-29T18:15:24.579Z"}
